GEOID,Population,Black,Hispanic,Asian,Householdincome,Bachelor,Households_num,Ageunder5,Age5to9,Age10to14,Age15to24,Age25to44,Age45to64,Age65to74,Age75plus,Employment,No_vehicle,Vehicle_owned,Public_transportation,person_per_room1,person_per_room2
1097,414620,149530,12318,8368,51169.0,43183,158045,26908,26189,28103,53140,107585,105235,41223,26237,176166,10742,147303,706,154956,3089
1099,20115,8482,73,83,32631.0,1126,7333,1023,1051,1408,2766,4140,5638,2363,1726,6504,507,6826,62,7268,65
1101,229072,134009,8391,7408,52511.0,29766,89134,15414,14737,15295,31110,61681,56166,21082,13587,99262,6369,82765,381,87118,2016
1103,122608,16025,10610,553,56128.0,13059,47459,7390,7995,7909,14546,30012,33295,12716,8745,53733,2287,45172,92,46316,1143
1105,8702,6103,88,13,27057.0,685,2847,561,356,600,1625,1737,2117,1080,626,2445,282,2565,0,2839,8
1107,19240,7723,991,8,43389.0,1235,6993,966,1011,1018,2305,4927,5373,2135,1505,6896,538,6455,27,6940,53
1109,33176,12115,785,652,40106.0,3161,11508,1753,1985,1668,8371,7118,7222,2927,2132,13592,778,10730,48,11423,85
1111,21984,4080,641,12,47081.0,1411,8607,1255,1293,1335,2692,4696,6124,2699,1890,8352,418,8189,88,8493,114
1113,58695,26244,3369,647,44065.0,4335,23141,3969,3761,4163,6919,16144,15291,5284,3164,22833,1823,21318,95,22759,382
1115,90412,8610,2263,498,65070.0,7829,33218,5103,5457,6438,9980,23565,24727,9486,5656,39969,1190,32028,36,32740,478
1117,220780,27758,12826,4245,82592.0,44496,82005,12163,14254,15519,27772,56907,59830,21506,12829,111438,2046,79959,20,81207,798
1119,12482,8899,152,163,27099.0,832,4808,752,593,733,2688,2411,2961,1349,995,4376,390,4418,14,4751,57
1121,81850,26369,2004,286,45400.0,5246,31778,4326,4911,4786,10464,20226,22534,9033,5570,32329,2670,29108,57,31338,440
1123,41284,11262,1016,85,50652.0,3242,16380,2359,2623,2183,4659,8787,11816,5421,3436,15839,1156,15224,40,16010,370
1125,223945,72214,8842,3791,57508.0,25405,81790,13168,13408,13088,43681,59704,50825,18934,11137,105665,4367,77423,870,80706,1084
1127,65194,3831,1755,120,47442.0,3872,24646,3799,4224,4018,7791,15127,17727,7507,5001,25516,1176,23470,25,24225,421
